# BJD, RV (km/s), RV Uncertainty (km/s)
2459677.9051760,-9.5114000,0.0160000
2459678.8767158,-9.5242000,0.0077000
2459679.9013104,-9.5387000,0.0078000
2459685.6252048,-9.5194000,0.0093000
2459714.6965226,-9.5315000,0.0064000
2460041.8472284,-9.5669000,0.0060000
2460048.8240441,-9.5207000,0.0102000
2460050.63210045,-9.4811,0.0047
2460050.67726265,-9.4953,0.006
2460050.71518088,-9.5391,0.0047
2460050.73004462,-9.5602,0.004
2460050.74433693,-9.5675,0.0039
2460050.75941186,-9.5776,0.0039
2460050.77384126,-9.5714,0.0036
2460050.78882472,-9.5399,0.0037
2460050.80360382,-9.5372,0.0038
2460050.81844784,-9.536,0.0038
2460050.83300653,-9.53,0.004
2460050.84781572,-9.5317,0.0041
2460050.86282261,-9.536,0.0042
2460050.8891455,-9.5316,0.0045
2460061.7269190,-9.6404000,0.0060000
2460066.7370039,-9.5746000,0.0089000
2460072.8122061,-9.5599000,0.0081000
2460094.7267914,-9.5439000,0.0109000
2460100.7313552,-9.5993000,0.0099000
2460107.7090863,-9.5890000,0.0101000
2460305.9581991,-9.5699000,0.0096000
